,name,birth,death,nationality,n_poems
stephane-mallarme,Stéphane Mallarmé,1842,1898,french,4
osip-mandelstam,Osip Mandelstam,1891,1938,russian,2
james-clarence-mangan,James Clarence Mangan,1803,1849,irish,7
walter-de-la-mare,Walter de la Mare,1873,1965,english,9
paul-mariani,Paul Mariani,1940,,american,4
edwin-markham,Edwin Markham,1852,1940,american,2
christopher-marlowe,Christopher Marlowe,1564,1593,english,3
jose-marti,José Martí,1853,1895,cuban,2
andrew-marvell,Andrew Marvell,1621,1678,english,10
john-masefield,John Masefield,1878,1967,english,34
vladimir-mayakovsky,Vladimir Mayakovsky,1893,1930,russian,16
james-mcauley,James McAuley,1917,1976,australian,5
john-mccrae,John McCrae,1872,1918,canadian,18
claude-mckay,Claude McKay,1890,1948,jamaican-american,11
herman-melville,Herman Melville,1819,1891,american,5
thomas-merton,Thomas Merton,1915,1968,american,90
w-s-merwin,W. S. Merwin,1927,2019,american,74
alice-meynell,Alice Meynell,1847,1922,english,6
adam-mickiewicz,Adam Mickiewicz,1798,1855,polish,10
edna-st-vincent-millay,Edna St. Vincent Millay,1892,1950,american,94
spike-milligan,Spike Milligan,1918,2002,british,2
a-a-milne,A. A. Milne,1882,1956,english,2
czeslaw-milosz,Czesław Miłosz,1911,2004,polish-american,46
john-milton,John Milton,1608,1674,english,9
gabriela-mistral,Gabriela Mistral,1889,1957,chilean,5
marianne-moore,Marianne Moore,1887,1972,american,23
merrell-moore,Merrell Moore,1903,1957,american,3
william-morris,William Morris,1834,1896,british,7
edwin-muir,Edwin Muir,1887,1959,scottish,17
les-murray,Les Murray,1938,2019,australian,8
vladimir-nabokov,Vladimir Nabokov,1899,1977,russian-american,6
sarojini-naidu,Sarojini Naidu,1879,1949,indian,2
ogden-nash,Ogden Nash,1902,1971,american,87
howard-nemerov,Howard Nemerov,1920,1991,american,1
pablo-neruda,Pablo Neruda,1904,1973,chilean,54
john-henry-newman,Saint John Henry Newman,1801,1890,english,2
alfred-noyes,Alfred Noyes,1880,1958,english,16
frank-ohara,Frank O’Hara,1926,1966,american,18
charles-olson,Charles Olson,1910,1970,american,3
james-oppenheim,James Oppenheim,1882,1932,american,5
ovid,Ovid,-43,~17,roman,5
wilfred-owen,Wilfred Owen,1893,1918,english,13
